Game,Calss,Type_Weapon,Name,Damage,Use Time,Critic Chance,Fire Rate,DPS
Terraria,Melee,Yoyo,Hel-Fire,41,25,0.04,2.4,98.4
Terraria,Melee,Spear,Cobalt Naginata,44,28,0.04,2.142857143,94.28571429
Terraria,Melee,Yoyo,Chik,39,25,0.04,2.4,93.6
Terraria,Melee,Spear,Dark Lance,34,22,0.04,2.727272727,92.72727273
Terraria,Melee,Spear,Adamantite Glaive,38,25,0.04,2.4,91.2
Terraria,Melee,Sword,Bladed Glove,12,8,0.04,7.5,90
Terraria,Melee,Spear,Mushroom Spear,60,40,0.04,1.5,90
Terraria,Melee,Sword,Breaker Blade,43,29,0.04,2.068965517,88.96551724
Terraria,Melee,Sword,Blue Phaseblade,26,18,0.04,3.333333333,86.66666667
Terraria,Melee,Sword,Green Phaseblade,26,18,0.04,3.333333333,86.66666667
Terraria,Melee,Sword,Orange Phaseblade,26,18,0.04,3.333333333,86.66666667
Terraria,Melee,Sword,Purple Phaseblade,26,18,0.04,3.333333333,86.66666667
Terraria,Melee,Sword,Red Phaseblade,26,18,0.04,3.333333333,86.66666667
Terraria,Melee,Sword,White Phaseblade,26,18,0.04,3.333333333,86.66666667
Terraria,Melee,Sword,Yellow Phaseblade,26,18,0.04,3.333333333,86.66666667
Terraria,Melee,Spear,Orichalcum Halberd,36,25,0.04,2.4,86.4
Terraria,Melee,Flail,KO Cannon,40,28,0.04,2.142857143,85.71428571
Terraria,Melee,Flail,Sunfury,64,45,0.11,1.333333333,85.33333333
Terraria,Melee,Spear,Mythril Halberd,35,26,0.04,2.307692308,80.76923077
Terraria,Melee,Sword,Muramasa,24,18,0.04,3.333333333,80
Terraria,Melee,Sword,Bee Keeper,26,20,0.04,3,78
Terraria,Melee,Sword,Platinum Shortsword,13,10,0.04,6,78
Terraria,Melee,Sword,Falcon Blade,25,20,0.04,3,75
Terraria,Melee,Flail,Blue Moon,54,45,0.04,1.333333333,72
Terraria,Melee,Spear,Palladium Pike,32,27,0.04,2.222222222,71.11111111
Terraria,Melee,Sword,Stylish Scissors,14,12,0.04,5,70
Terraria,Melee,Boomerang,Shroomerang,23,20,0.04,3,69
Terraria,Melee,Sword,Exotic Scimitar,20,18,0.04,3.333333333,66.66666667
Terraria,Melee,Sword,Starfury,22,20,0.04,3,66
Terraria,Melee,Sword,Enchanted Sword,23,21,0.04,2.857142857,65.71428571
Terraria,Melee,Sword,Gold Shortsword,12,11,0.04,5.454545455,65.45454545
Terraria,Melee,Yoyo,Cascade,27,25,0.04,2.4,64.8
Terraria,Melee,Sword,Classy Cane,16,15,0.04,4,64
Terraria,Melee,Boomerang,Ice Boomerang,16,15,0.06,4,64
Terraria,Melee,Boomerang,Bloody Machete,15,15,0.04,4,60
Terraria,Melee,Sword,Purple Clubberfish,35,35,0.04,1.714285714,60
Terraria,Melee,Sword,Volcano,40,40,0.04,1.5,60
Terraria,Melee,Yoyo,Hive-Five,24,25,0.04,2.4,57.6
Terraria,Melee,Boomerang,Trimarang,21,22,0.04,2.727272727,57.27272727
Terraria,Melee,Spear,Swordfish,19,20,0.04,3,57
Terraria,Melee,Sword,Platinum Broadsword,16,17,0.04,3.529411765,56.47058824
Terraria,Melee,Boomerang,Fruitcake Chakram,14,15,0.04,4,56
Terraria,Melee,Sword,Tungsten Shortsword,10,11,0.04,5.454545455,54.54545455
Terraria,Melee,Sword,Mandible Blade,16,18,0.04,3.333333333,53.33333333
Terraria,Melee,Sword,Flymeal,15,17,0.04,3.529411765,52.94117647
Terraria,Melee,Sword,Blood Butcherer,22,25,0.04,2.4,52.8
Terraria,Melee,Yoyo,Valor,22,25,0.04,2.4,52.8
Terraria,Melee,Boomerang,Enchanted Boomerang,17,20,0.04,3,51
Terraria,Melee,Sword,Ice Blade,17,20,0.06,3,51
Terraria,Melee,Sword,Lights Bane,17,20,0.04,3,51
Terraria,Melee,Yoyo,Code 1,21,25,0.04,2.4,50.4
Terraria,Melee,Weapon,Axe of Regrowth,20,24,0.04,2.5,50
Terraria,Melee,Sword,Gold Broadsword,15,18,0.04,3.333333333,50
Terraria,Melee,Sword,Tentacle Spike,19,23,0.04,2.608695652,49.56521739
Terraria,Melee,Sword,Ash Wood Sword,13,17,0.04,3.529411765,45.88235294
Terraria,Melee,Flail,The Meatball,34,45,0.04,1.333333333,45.33333333
Terraria,Melee,Sword,Lead Shortsword,9,12,0.04,5,45
Terraria,Melee,Sword,Silver Shortsword,9,12,0.04,5,45
Terraria,Melee,Sword,Tungsten Broadsword,14,19,0.04,3.157894737,44.21052632
Terraria,Melee,Sword,Bone Sword,16,22,0.04,2.727272727,43.63636364
Terraria,Melee,Sword,Katana,16,22,0.19,2.727272727,43.63636364
Terraria,Melee,Yoyo,Amazon,18,25,0.04,2.4,43.2
Terraria,Melee,Sword,Blade of Grass,18,25,0.04,2.4,43.2
Terraria,Melee,Sword,Gladius,15,21,0.04,2.857142857,42.85714286
Terraria,Melee,Sword,Silver Broadsword,14,20,0.04,3,42
Terraria,Melee,Sword,Bat Bat,31,45,0.04,1.333333333,41.33333333
Terraria,Melee,Sword,Tragic Umbrella,15,22,0.04,2.727272727,40.90909091
Terraria,Melee,Sword,Zombie Arm,15,22,0.04,2.727272727,40.90909091
Terraria,Melee,Yoyo,Artery,17,25,0.04,2.4,40.8
Terraria,Melee,Weapon,Terragrim,17,25,0.04,2.4,40.8
Terraria,Melee,Flail,Ball O Hurt,30,45,0.04,1.333333333,40
Terraria,Melee,Sword,Iron Shortsword,8,12,0.04,5,40
Terraria,Melee,Sword,Lead Broadsword,13,20,0.04,3,39
Terraria,Melee,Weapon,Chain Knife,12,20,0.04,3,36
Terraria,Melee,Sword,Iron Broadsword,12,20,0.04,3,36
Terraria,Melee,Sword,Ruler,12,20,0.04,3,36
Terraria,Melee,Sword,Candy Cane Sword,16,27,0.04,2.222222222,35.55555556
Terraria,Melee,Sword,Tin Shortsword,7,12,0.04,5,35
Terraria,Melee,Sword,Ebonwood Sword,11,19,0.04,3.157894737,34.73684211
Terraria,Melee,Sword,Shadewood Sword,11,19,0.04,3.157894737,34.73684211
Terraria,Melee,Yoyo,Rally,14,25,0.04,2.4,33.6
Terraria,Melee,Tool,Gravediggers Shovel,12,22,0.04,2.727272727,32.72727273
Terraria,Melee,Sword,Pearlwood Sword,11,21,0.04,2.857142857,31.42857143
Terraria,Melee,Sword,Tin Broadsword,10,20,0.04,3,30
Terraria,Melee,Boomerang,Wooden Boomerang,10,20,0.04,3,30
Terraria,Melee,Sword,Umbrella,10,22,0.04,2.727272727,27.27272727
Terraria,Melee,Spear,The Rotted Fork,14,31,0.04,1.935483871,27.09677419
Terraria,Melee,Spear,Trident,14,31,0.04,1.935483871,27.09677419
Terraria,Melee,Sword,Copper Broadsword,9,21,0.04,2.857142857,25.71428571
Terraria,Melee,Spear,Storm Spear,12,28,0.04,2.142857143,25.71428571
Terraria,Melee,Sword,Palm Wood Sword,8,19,0.04,3.157894737,25.26315789
Terraria,Melee,Sword,Rich Mahogany Sword,8,19,0.04,3.157894737,25.26315789
Terraria,Melee,Sword,Boreal Wood Sword,8,20,0.04,3,24
Terraria,Melee,Flail,Flaming Mace,18,45,0.04,1.333333333,24
Terraria,Melee,Flail,Mace,18,45,0.04,1.333333333,24
Terraria,Melee,Sword,Copper Shortsword,5,13,0.04,4.615384615,23.07692308
Terraria,Melee,Tool,Sickle,9,24,0.04,2.5,22.5
Terraria,Melee,Sword,Breathing Reed,10,27,0.04,2.222222222,22.22222222
Terraria,Melee,Yoyo,Wooden Yoyo,9,25,0.04,2.4,21.6
Terraria,Melee,Sword,Wooden Sword,7,20,0.04,3,21
Terraria,Melee,Sword,Cactus Sword,10,30,0.04,2,20
Terraria,Melee,Tool,Staff of Regrowth,7,25,0.04,2.4,16.8
Terraria,Melee,Spear,Spear,8,31,0.04,1.935483871,15.48387097
