Game,Calss,Type_Weapon,Name,Damage,Use Time,Critic Chance,Fire Rate,DPS,Difficulty,Event,Name Boss,Life,Average Defense,Damage Reduction,Average Damage,No_Hits,Number_Hits_FLOAT,Number_Hits_INT,Columna1
Terraria,Melee,Sword,Shadewood Sword,11,19,0.04,3.157894737,34.73684211,Master,Boss,Duke Fishron - First Form,99000,75,37.5,251.25,1,99000,99000,
Terraria,Melee,Yoyo,Rally,14,25,0.04,2.4,33.6,Master,Boss,Duke Fishron - First Form,99000,75,37.5,251.25,1,99000,99000,
Terraria,Melee,Tool,Gravediggers Shovel,12,22,0.04,2.727272727,32.72727273,Master,Boss,Duke Fishron - First Form,99000,75,37.5,251.25,1,99000,99000,
Terraria,Melee,Sword,Pearlwood Sword,11,21,0.04,2.857142857,31.42857143,Master,Boss,Duke Fishron - First Form,99000,75,37.5,251.25,1,99000,99000,
Terraria,Melee,Sword,Tin Broadsword,10,20,0.04,3,30,Master,Boss,Duke Fishron - First Form,99000,75,37.5,251.25,1,99000,99000,
Terraria,Melee,Boomerang,Wooden Boomerang,10,20,0.04,3,30,Master,Boss,Duke Fishron - First Form,99000,75,37.5,251.25,1,99000,99000,
Terraria,Melee,Sword,Umbrella,10,22,0.04,2.727272727,27.27272727,Master,Boss,Duke Fishron - First Form,99000,75,37.5,251.25,1,99000,99000,
Terraria,Melee,Spear,The Rotted Fork,14,31,0.04,1.935483871,27.09677419,Master,Boss,Duke Fishron - First Form,99000,75,37.5,251.25,1,99000,99000,
Terraria,Melee,Spear,Trident,14,31,0.04,1.935483871,27.09677419,Master,Boss,Duke Fishron - First Form,99000,75,37.5,251.25,1,99000,99000,
Terraria,Melee,Sword,Copper Broadsword,9,21,0.04,2.857142857,25.71428571,Master,Boss,Duke Fishron - First Form,99000,75,37.5,251.25,1,99000,99000,
Terraria,Melee,Spear,Storm Spear,12,28,0.04,2.142857143,25.71428571,Master,Boss,Duke Fishron - First Form,99000,75,37.5,251.25,1,99000,99000,
Terraria,Melee,Sword,Palm Wood Sword,8,19,0.04,3.157894737,25.26315789,Master,Boss,Duke Fishron - First Form,99000,75,37.5,251.25,1,99000,99000,
Terraria,Melee,Sword,Rich Mahogany Sword,8,19,0.04,3.157894737,25.26315789,Master,Boss,Duke Fishron - First Form,99000,75,37.5,251.25,1,99000,99000,
Terraria,Melee,Sword,Boreal Wood Sword,8,20,0.04,3,24,Master,Boss,Duke Fishron - First Form,99000,75,37.5,251.25,1,99000,99000,
Terraria,Melee,Flail,Flaming Mace,18,45,0.04,1.333333333,24,Master,Boss,Duke Fishron - First Form,99000,75,37.5,251.25,1,99000,99000,
Terraria,Melee,Flail,Mace,18,45,0.04,1.333333333,24,Master,Boss,Duke Fishron - First Form,99000,75,37.5,251.25,1,99000,99000,
Terraria,Melee,Sword,Copper Shortsword,5,13,0.04,4.615384615,23.07692308,Master,Boss,Duke Fishron - First Form,99000,75,37.5,251.25,1,99000,99000,
Terraria,Melee,Tool,Sickle,9,24,0.04,2.5,22.5,Master,Boss,Duke Fishron - First Form,99000,75,37.5,251.25,1,99000,99000,
Terraria,Melee,Sword,Breathing Reed,10,27,0.04,2.222222222,22.22222222,Master,Boss,Duke Fishron - First Form,99000,75,37.5,251.25,1,99000,99000,
Terraria,Melee,Yoyo,Wooden Yoyo,9,25,0.04,2.4,21.6,Master,Boss,Duke Fishron - First Form,99000,75,37.5,251.25,1,99000,99000,
Terraria,Melee,Sword,Wooden Sword,7,20,0.04,3,21,Master,Boss,Duke Fishron - First Form,99000,75,37.5,251.25,1,99000,99000,
Terraria,Melee,Sword,Cactus Sword,10,30,0.04,2,20,Master,Boss,Duke Fishron - First Form,99000,75,37.5,251.25,1,99000,99000,
Terraria,Melee,Tool,Staff of Regrowth,7,25,0.04,2.4,16.8,Master,Boss,Duke Fishron - First Form,99000,75,37.5,251.25,1,99000,99000,
Terraria,Melee,Spear,Spear,8,31,0.04,1.935483871,15.48387097,Master,Boss,Duke Fishron - First Form,99000,75,37.5,251.25,1,99000,99000,
Terraria,Melee,Sword,Copper Broadsword,9,21,0.04,2.857142857,25.71428571,Expert,Boss,Empress of Light,98000,50,25,129.17,1,98000,98000,
Terraria,Melee,Spear,Storm Spear,12,28,0.04,2.142857143,25.71428571,Expert,Boss,Empress of Light,98000,50,25,129.17,1,98000,98000,
Terraria,Melee,Sword,Palm Wood Sword,8,19,0.04,3.157894737,25.26315789,Expert,Boss,Empress of Light,98000,50,25,129.17,1,98000,98000,
Terraria,Melee,Sword,Rich Mahogany Sword,8,19,0.04,3.157894737,25.26315789,Expert,Boss,Empress of Light,98000,50,25,129.17,1,98000,98000,
Terraria,Melee,Sword,Boreal Wood Sword,8,20,0.04,3,24,Expert,Boss,Empress of Light,98000,50,25,129.17,1,98000,98000,
Terraria,Melee,Flail,Flaming Mace,18,45,0.04,1.333333333,24,Expert,Boss,Empress of Light,98000,50,25,129.17,1,98000,98000,
Terraria,Melee,Flail,Mace,18,45,0.04,1.333333333,24,Expert,Boss,Empress of Light,98000,50,25,129.17,1,98000,98000,
Terraria,Melee,Sword,Copper Shortsword,5,13,0.04,4.615384615,23.07692308,Expert,Boss,Empress of Light,98000,50,25,129.17,1,98000,98000,
Terraria,Melee,Tool,Sickle,9,24,0.04,2.5,22.5,Expert,Boss,Empress of Light,98000,50,25,129.17,1,98000,98000,
Terraria,Melee,Sword,Breathing Reed,10,27,0.04,2.222222222,22.22222222,Expert,Boss,Empress of Light,98000,50,25,129.17,1,98000,98000,
Terraria,Melee,Yoyo,Wooden Yoyo,9,25,0.04,2.4,21.6,Expert,Boss,Empress of Light,98000,50,25,129.17,1,98000,98000,
Terraria,Melee,Sword,Wooden Sword,7,20,0.04,3,21,Expert,Boss,Empress of Light,98000,50,25,129.17,1,98000,98000,
Terraria,Melee,Sword,Cactus Sword,10,30,0.04,2,20,Expert,Boss,Empress of Light,98000,50,25,129.17,1,98000,98000,
Terraria,Melee,Tool,Staff of Regrowth,7,25,0.04,2.4,16.8,Expert,Boss,Empress of Light,98000,50,25,129.17,1,98000,98000,
Terraria,Melee,Spear,Spear,8,31,0.04,1.935483871,15.48387097,Expert,Boss,Empress of Light,98000,50,25,129.17,1,98000,98000,
Terraria,Melee,Weapon,Chain Knife,12,20,0.04,3,36,Master,Boss,Moon Lords Core,95625,70,35,0,1,95625,95625,
Terraria,Melee,Sword,Iron Broadsword,12,20,0.04,3,36,Master,Boss,Moon Lords Core,95625,70,35,0,1,95625,95625,
Terraria,Melee,Sword,Ruler,12,20,0.04,3,36,Master,Boss,Moon Lords Core,95625,70,35,0,1,95625,95625,
Terraria,Melee,Sword,Candy Cane Sword,16,27,0.04,2.222222222,35.55555556,Master,Boss,Moon Lords Core,95625,70,35,0,1,95625,95625,
Terraria,Melee,Sword,Tin Shortsword,7,12,0.04,5,35,Master,Boss,Moon Lords Core,95625,70,35,0,1,95625,95625,
Terraria,Melee,Sword,Ebonwood Sword,11,19,0.04,3.157894737,34.73684211,Master,Boss,Moon Lords Core,95625,70,35,0,1,95625,95625,
Terraria,Melee,Sword,Shadewood Sword,11,19,0.04,3.157894737,34.73684211,Master,Boss,Moon Lords Core,95625,70,35,0,1,95625,95625,
Terraria,Melee,Yoyo,Rally,14,25,0.04,2.4,33.6,Master,Boss,Moon Lords Core,95625,70,35,0,1,95625,95625,
Terraria,Melee,Tool,Gravediggers Shovel,12,22,0.04,2.727272727,32.72727273,Master,Boss,Moon Lords Core,95625,70,35,0,1,95625,95625,
Terraria,Melee,Sword,Pearlwood Sword,11,21,0.04,2.857142857,31.42857143,Master,Boss,Moon Lords Core,95625,70,35,0,1,95625,95625,
Terraria,Melee,Sword,Tin Broadsword,10,20,0.04,3,30,Master,Boss,Moon Lords Core,95625,70,35,0,1,95625,95625,
Terraria,Melee,Boomerang,Wooden Boomerang,10,20,0.04,3,30,Master,Boss,Moon Lords Core,95625,70,35,0,1,95625,95625,
Terraria,Melee,Sword,Umbrella,10,22,0.04,2.727272727,27.27272727,Master,Boss,Moon Lords Core,95625,70,35,0,1,95625,95625,
Terraria,Melee,Spear,The Rotted Fork,14,31,0.04,1.935483871,27.09677419,Master,Boss,Moon Lords Core,95625,70,35,0,1,95625,95625,
Terraria,Melee,Spear,Trident,14,31,0.04,1.935483871,27.09677419,Master,Boss,Moon Lords Core,95625,70,35,0,1,95625,95625,
Terraria,Melee,Sword,Copper Broadsword,9,21,0.04,2.857142857,25.71428571,Master,Boss,Moon Lords Core,95625,70,35,0,1,95625,95625,
Terraria,Melee,Spear,Storm Spear,12,28,0.04,2.142857143,25.71428571,Master,Boss,Moon Lords Core,95625,70,35,0,1,95625,95625,
Terraria,Melee,Sword,Palm Wood Sword,8,19,0.04,3.157894737,25.26315789,Master,Boss,Moon Lords Core,95625,70,35,0,1,95625,95625,
Terraria,Melee,Sword,Rich Mahogany Sword,8,19,0.04,3.157894737,25.26315789,Master,Boss,Moon Lords Core,95625,70,35,0,1,95625,95625,
Terraria,Melee,Sword,Boreal Wood Sword,8,20,0.04,3,24,Master,Boss,Moon Lords Core,95625,70,35,0,1,95625,95625,
Terraria,Melee,Flail,Flaming Mace,18,45,0.04,1.333333333,24,Master,Boss,Moon Lords Core,95625,70,35,0,1,95625,95625,
Terraria,Melee,Flail,Mace,18,45,0.04,1.333333333,24,Master,Boss,Moon Lords Core,95625,70,35,0,1,95625,95625,
Terraria,Melee,Sword,Copper Shortsword,5,13,0.04,4.615384615,23.07692308,Master,Boss,Moon Lords Core,95625,70,35,0,1,95625,95625,
Terraria,Melee,Tool,Sickle,9,24,0.04,2.5,22.5,Master,Boss,Moon Lords Core,95625,70,35,0,1,95625,95625,
Terraria,Melee,Sword,Breathing Reed,10,27,0.04,2.222222222,22.22222222,Master,Boss,Moon Lords Core,95625,70,35,0,1,95625,95625,
Terraria,Melee,Yoyo,Wooden Yoyo,9,25,0.04,2.4,21.6,Master,Boss,Moon Lords Core,95625,70,35,0,1,95625,95625,
Terraria,Melee,Sword,Wooden Sword,7,20,0.04,3,21,Master,Boss,Moon Lords Core,95625,70,35,0,1,95625,95625,
Terraria,Melee,Sword,Cactus Sword,10,30,0.04,2,20,Master,Boss,Moon Lords Core,95625,70,35,0,1,95625,95625,
Terraria,Melee,Tool,Staff of Regrowth,7,25,0.04,2.4,16.8,Master,Boss,Moon Lords Core,95625,70,35,0,1,95625,95625,
Terraria,Melee,Spear,Spear,8,31,0.04,1.935483871,15.48387097,Master,Boss,Moon Lords Core,95625,70,35,0,1,95625,95625,
Terraria,Melee,Sword,Copper Broadsword,9,21,0.04,2.857142857,25.71428571,Master,Boss,Moon Lord,86062,50,25,315,1,86062,86062,
Terraria,Melee,Spear,Storm Spear,12,28,0.04,2.142857143,25.71428571,Master,Boss,Moon Lord,86062,50,25,315,1,86062,86062,
Terraria,Melee,Sword,Palm Wood Sword,8,19,0.04,3.157894737,25.26315789,Master,Boss,Moon Lord,86062,50,25,315,1,86062,86062,
Terraria,Melee,Sword,Rich Mahogany Sword,8,19,0.04,3.157894737,25.26315789,Master,Boss,Moon Lord,86062,50,25,315,1,86062,86062,
Terraria,Melee,Sword,Boreal Wood Sword,8,20,0.04,3,24,Master,Boss,Moon Lord,86062,50,25,315,1,86062,86062,
Terraria,Melee,Flail,Flaming Mace,18,45,0.04,1.333333333,24,Master,Boss,Moon Lord,86062,50,25,315,1,86062,86062,
Terraria,Melee,Flail,Mace,18,45,0.04,1.333333333,24,Master,Boss,Moon Lord,86062,50,25,315,1,86062,86062,
Terraria,Melee,Sword,Copper Shortsword,5,13,0.04,4.615384615,23.07692308,Master,Boss,Moon Lord,86062,50,25,315,1,86062,86062,
Terraria,Melee,Tool,Sickle,9,24,0.04,2.5,22.5,Master,Boss,Moon Lord,86062,50,25,315,1,86062,86062,
Terraria,Melee,Sword,Breathing Reed,10,27,0.04,2.222222222,22.22222222,Master,Boss,Moon Lord,86062,50,25,315,1,86062,86062,
Terraria,Melee,Yoyo,Wooden Yoyo,9,25,0.04,2.4,21.6,Master,Boss,Moon Lord,86062,50,25,315,1,86062,86062,
Terraria,Melee,Sword,Wooden Sword,7,20,0.04,3,21,Master,Boss,Moon Lord,86062,50,25,315,1,86062,86062,
Terraria,Melee,Sword,Cactus Sword,10,30,0.04,2,20,Master,Boss,Moon Lord,86062,50,25,315,1,86062,86062,
Terraria,Melee,Tool,Staff of Regrowth,7,25,0.04,2.4,16.8,Master,Boss,Moon Lord,86062,50,25,315,1,86062,86062,
Terraria,Melee,Spear,Spear,8,31,0.04,1.935483871,15.48387097,Master,Boss,Moon Lord,86062,50,25,315,1,86062,86062,
Terraria,Melee,Tool,Staff of Regrowth,7,25,0.04,2.4,16.8,Master,Boss,The Destroyer,153000,30,15,192.5,1.8,85000,85000,
Terraria,Melee,Spear,Spear,8,31,0.04,1.935483871,15.48387097,Normal,Boss,The Destroyer,80000,30,15,52.25,1,80000,80000,
Terraria,Melee,Weapon,Chain Knife,12,20,0.04,3,36,Expert,Boss,Duke Fishron - First Form,78000,75,37.5,167.5,1,78000,78000,
Terraria,Melee,Sword,Iron Broadsword,12,20,0.04,3,36,Expert,Boss,Duke Fishron - First Form,78000,75,37.5,167.5,1,78000,78000,
Terraria,Melee,Sword,Ruler,12,20,0.04,3,36,Expert,Boss,Duke Fishron - First Form,78000,75,37.5,167.5,1,78000,78000,
Terraria,Melee,Sword,Candy Cane Sword,16,27,0.04,2.222222222,35.55555556,Expert,Boss,Duke Fishron - First Form,78000,75,37.5,167.5,1,78000,78000,
Terraria,Melee,Sword,Tin Shortsword,7,12,0.04,5,35,Expert,Boss,Duke Fishron - First Form,78000,75,37.5,167.5,1,78000,78000,
Terraria,Melee,Sword,Ebonwood Sword,11,19,0.04,3.157894737,34.73684211,Expert,Boss,Duke Fishron - First Form,78000,75,37.5,167.5,1,78000,78000,
Terraria,Melee,Sword,Shadewood Sword,11,19,0.04,3.157894737,34.73684211,Expert,Boss,Duke Fishron - First Form,78000,75,37.5,167.5,1,78000,78000,
Terraria,Melee,Yoyo,Rally,14,25,0.04,2.4,33.6,Expert,Boss,Duke Fishron - First Form,78000,75,37.5,167.5,1,78000,78000,
Terraria,Melee,Tool,Gravediggers Shovel,12,22,0.04,2.727272727,32.72727273,Expert,Boss,Duke Fishron - First Form,78000,75,37.5,167.5,1,78000,78000,
Terraria,Melee,Sword,Pearlwood Sword,11,21,0.04,2.857142857,31.42857143,Expert,Boss,Duke Fishron - First Form,78000,75,37.5,167.5,1,78000,78000,
Terraria,Melee,Sword,Tin Broadsword,10,20,0.04,3,30,Expert,Boss,Duke Fishron - First Form,78000,75,37.5,167.5,1,78000,78000,
Terraria,Melee,Boomerang,Wooden Boomerang,10,20,0.04,3,30,Expert,Boss,Duke Fishron - First Form,78000,75,37.5,167.5,1,78000,78000,
Terraria,Melee,Sword,Umbrella,10,22,0.04,2.727272727,27.27272727,Expert,Boss,Duke Fishron - First Form,78000,75,37.5,167.5,1,78000,78000,
Terraria,Melee,Spear,The Rotted Fork,14,31,0.04,1.935483871,27.09677419,Expert,Boss,Duke Fishron - First Form,78000,75,37.5,167.5,1,78000,78000,
Terraria,Melee,Spear,Trident,14,31,0.04,1.935483871,27.09677419,Expert,Boss,Duke Fishron - First Form,78000,75,37.5,167.5,1,78000,78000,
Terraria,Melee,Sword,Copper Broadsword,9,21,0.04,2.857142857,25.71428571,Expert,Boss,Duke Fishron - First Form,78000,75,37.5,167.5,1,78000,78000,
Terraria,Melee,Spear,Storm Spear,12,28,0.04,2.142857143,25.71428571,Expert,Boss,Duke Fishron - First Form,78000,75,37.5,167.5,1,78000,78000,
Terraria,Melee,Sword,Palm Wood Sword,8,19,0.04,3.157894737,25.26315789,Expert,Boss,Duke Fishron - First Form,78000,75,37.5,167.5,1,78000,78000,
Terraria,Melee,Sword,Rich Mahogany Sword,8,19,0.04,3.157894737,25.26315789,Expert,Boss,Duke Fishron - First Form,78000,75,37.5,167.5,1,78000,78000,
Terraria,Melee,Sword,Boreal Wood Sword,8,20,0.04,3,24,Expert,Boss,Duke Fishron - First Form,78000,75,37.5,167.5,1,78000,78000,
Terraria,Melee,Flail,Flaming Mace,18,45,0.04,1.333333333,24,Expert,Boss,Duke Fishron - First Form,78000,75,37.5,167.5,1,78000,78000,
Terraria,Melee,Flail,Mace,18,45,0.04,1.333333333,24,Expert,Boss,Duke Fishron - First Form,78000,75,37.5,167.5,1,78000,78000,
Terraria,Melee,Sword,Copper Shortsword,5,13,0.04,4.615384615,23.07692308,Expert,Boss,Duke Fishron - First Form,78000,75,37.5,167.5,1,78000,78000,
Terraria,Melee,Tool,Sickle,9,24,0.04,2.5,22.5,Expert,Boss,Duke Fishron - First Form,78000,75,37.5,167.5,1,78000,78000,
Terraria,Melee,Sword,Breathing Reed,10,27,0.04,2.222222222,22.22222222,Expert,Boss,Duke Fishron - First Form,78000,75,37.5,167.5,1,78000,78000,
Terraria,Melee,Yoyo,Wooden Yoyo,9,25,0.04,2.4,21.6,Expert,Boss,Duke Fishron - First Form,78000,75,37.5,167.5,1,78000,78000,
Terraria,Melee,Sword,Wooden Sword,7,20,0.04,3,21,Expert,Boss,Duke Fishron - First Form,78000,75,37.5,167.5,1,78000,78000,
Terraria,Melee,Sword,Cactus Sword,10,30,0.04,2,20,Expert,Boss,Duke Fishron - First Form,78000,75,37.5,167.5,1,78000,78000,
Terraria,Melee,Tool,Staff of Regrowth,7,25,0.04,2.4,16.8,Expert,Boss,Duke Fishron - First Form,78000,75,37.5,167.5,1,78000,78000,
Terraria,Melee,Spear,Spear,8,31,0.04,1.935483871,15.48387097,Expert,Boss,Duke Fishron - First Form,78000,75,37.5,167.5,1,78000,78000,
Terraria,Melee,Weapon,Chain Knife,12,20,0.04,3,36,Expert,Boss,Moon Lords Core,75000,70,35,0,1,75000,75000,
Terraria,Melee,Sword,Iron Broadsword,12,20,0.04,3,36,Expert,Boss,Moon Lords Core,75000,70,35,0,1,75000,75000,
Terraria,Melee,Sword,Ruler,12,20,0.04,3,36,Expert,Boss,Moon Lords Core,75000,70,35,0,1,75000,75000,
Terraria,Melee,Sword,Candy Cane Sword,16,27,0.04,2.222222222,35.55555556,Expert,Boss,Moon Lords Core,75000,70,35,0,1,75000,75000,
Terraria,Melee,Sword,Tin Shortsword,7,12,0.04,5,35,Expert,Boss,Moon Lords Core,75000,70,35,0,1,75000,75000,
Terraria,Melee,Sword,Ebonwood Sword,11,19,0.04,3.157894737,34.73684211,Expert,Boss,Moon Lords Core,75000,70,35,0,1,75000,75000,
Terraria,Melee,Sword,Shadewood Sword,11,19,0.04,3.157894737,34.73684211,Expert,Boss,Moon Lords Core,75000,70,35,0,1,75000,75000,
Terraria,Melee,Yoyo,Rally,14,25,0.04,2.4,33.6,Expert,Boss,Moon Lords Core,75000,70,35,0,1,75000,75000,
Terraria,Melee,Tool,Gravediggers Shovel,12,22,0.04,2.727272727,32.72727273,Expert,Boss,Moon Lords Core,75000,70,35,0,1,75000,75000,
Terraria,Melee,Sword,Pearlwood Sword,11,21,0.04,2.857142857,31.42857143,Expert,Boss,Moon Lords Core,75000,70,35,0,1,75000,75000,
Terraria,Melee,Sword,Tin Broadsword,10,20,0.04,3,30,Expert,Boss,Moon Lords Core,75000,70,35,0,1,75000,75000,
Terraria,Melee,Boomerang,Wooden Boomerang,10,20,0.04,3,30,Expert,Boss,Moon Lords Core,75000,70,35,0,1,75000,75000,
Terraria,Melee,Sword,Umbrella,10,22,0.04,2.727272727,27.27272727,Expert,Boss,Moon Lords Core,75000,70,35,0,1,75000,75000,
Terraria,Melee,Spear,The Rotted Fork,14,31,0.04,1.935483871,27.09677419,Expert,Boss,Moon Lords Core,75000,70,35,0,1,75000,75000,
Terraria,Melee,Spear,Trident,14,31,0.04,1.935483871,27.09677419,Expert,Boss,Moon Lords Core,75000,70,35,0,1,75000,75000,
Terraria,Melee,Sword,Copper Broadsword,9,21,0.04,2.857142857,25.71428571,Expert,Boss,Moon Lords Core,75000,70,35,0,1,75000,75000,
Terraria,Melee,Spear,Storm Spear,12,28,0.04,2.142857143,25.71428571,Expert,Boss,Moon Lords Core,75000,70,35,0,1,75000,75000,
Terraria,Melee,Sword,Palm Wood Sword,8,19,0.04,3.157894737,25.26315789,Expert,Boss,Moon Lords Core,75000,70,35,0,1,75000,75000,
Terraria,Melee,Sword,Rich Mahogany Sword,8,19,0.04,3.157894737,25.26315789,Expert,Boss,Moon Lords Core,75000,70,35,0,1,75000,75000,
Terraria,Melee,Sword,Boreal Wood Sword,8,20,0.04,3,24,Expert,Boss,Moon Lords Core,75000,70,35,0,1,75000,75000,
Terraria,Melee,Flail,Flaming Mace,18,45,0.04,1.333333333,24,Expert,Boss,Moon Lords Core,75000,70,35,0,1,75000,75000,
Terraria,Melee,Flail,Mace,18,45,0.04,1.333333333,24,Expert,Boss,Moon Lords Core,75000,70,35,0,1,75000,75000,
Terraria,Melee,Sword,Copper Shortsword,5,13,0.04,4.615384615,23.07692308,Expert,Boss,Moon Lords Core,75000,70,35,0,1,75000,75000,
Terraria,Melee,Tool,Sickle,9,24,0.04,2.5,22.5,Expert,Boss,Moon Lords Core,75000,70,35,0,1,75000,75000,
Terraria,Melee,Sword,Breathing Reed,10,27,0.04,2.222222222,22.22222222,Expert,Boss,Moon Lords Core,75000,70,35,0,1,75000,75000,
Terraria,Melee,Yoyo,Wooden Yoyo,9,25,0.04,2.4,21.6,Expert,Boss,Moon Lords Core,75000,70,35,0,1,75000,75000,
Terraria,Melee,Sword,Wooden Sword,7,20,0.04,3,21,Expert,Boss,Moon Lords Core,75000,70,35,0,1,75000,75000,
Terraria,Melee,Sword,Cactus Sword,10,30,0.04,2,20,Expert,Boss,Moon Lords Core,75000,70,35,0,1,75000,75000,
Terraria,Melee,Tool,Staff of Regrowth,7,25,0.04,2.4,16.8,Expert,Boss,Moon Lords Core,75000,70,35,0,1,75000,75000,
Terraria,Melee,Spear,Spear,8,31,0.04,1.935483871,15.48387097,Expert,Boss,Moon Lords Core,75000,70,35,0,1,75000,75000,
Terraria,Melee,Spear,Spear,8,31,0.04,1.935483871,15.48387097,Normal,Boss,Empress of Light,70000,50,25,96.67,1,70000,70000,
Terraria,Melee,Spear,Spear,8,31,0.04,1.935483871,15.48387097,Normal,Boss,Duke Fishron - First Form,60000,75,37.5,120,1,60000,60000,
Terraria,Melee,Spear,Spear,8,31,0.04,1.935483871,15.48387097,Normal,Boss,Moon Lords Core,50000,70,35,0,1,50000,50000,
Terraria,Melee,Spear,Spear,8,31,0.04,1.935483871,15.48387097,Normal,Boss,Moon Lord,45000,50,25,105,1,45000,45000,
Terraria,Melee,Spear,Spear,8,31,0.04,1.935483871,15.48387097,Normal,Boss,Lunatic Cultist,32000,34.5,17.25,64.5,1,32000,32000,
Terraria,Melee,Spear,Spear,8,31,0.04,1.935483871,15.48387097,Normal,Boss,Plantera,30000,36,18,52.5,1,30000,30000,
Terraria,Melee,Spear,Spear,8,31,0.04,1.935483871,15.48387097,Normal,Boss,Skeletron Prime,28000,36,18,70.5,1,28000,28000,
Terraria,Melee,Spear,Spear,8,31,0.04,1.935483871,15.48387097,Normal,Boss,Mechdusa,273000,10,5,,10.48387097,26039.99999,26040,
Terraria,Melee,Spear,Spear,8,31,0.04,1.935483871,15.48387097,Normal,Boss,Moon Lords Hand,25000,40,20,70,1,25000,25000,
Terraria,Melee,Spear,Spear,8,31,0.04,1.935483871,15.48387097,Normal,Boss,Golem Head - Second Form,16000,32,16,80,1,16000,16000,
Terraria,Melee,Spear,Spear,8,31,0.04,1.935483871,15.48387097,Normal,Boss,Prime Saw,9000,38,19,56,1,9000,9000,
Terraria,Melee,Spear,Spear,8,31,0.04,1.935483871,15.48387097,Normal,Boss,Prime Vice,9000,34,17,50,1,9000,9000,
Terraria,Melee,Spear,Spear,8,31,0.04,1.935483871,15.48387097,Normal,Boss,Queen Slime,18000,26,13,70,2.48387097,7246.75324,7247,
Terraria,Melee,Spear,Spear,8,31,0.04,1.935483871,15.48387097,Normal,Boss,Golem Fist - First Form,10000,28,14,59,1.48387097,6739.130425,6740,
